"questions","keys","datadic","value","valuelabels"
"1y. Have you ever been treated as an out-patient for problems related to marijuana / hashish abuse?","ESPAD_01y","ESPAD","0-1","0=no, 1=yes"
"1z. When did you FIRST try marijuana?","ESPAD_01z","ESPAD","1-8","1=11 years old or less; 2=12 years old; 3=13 years old; 4=14 years old; 5=15 years old; 6=16 years old; 7=17 years old; 8=18 years old or more"
"2b. On how many occasions IN YOUR WHOLE LIFETIME have you sniffed a substance (glue, aerosols, etc.) to get high?","ESPAD_02b","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"2c. On how many occasions OVER THE LAST 12 MONTHS have you sniffed a substance (glue, aerosols, etc.) to get high?","ESPAD_02c","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"2d. On how many occasions OVER THE LAST 30 DAYS have you sniffed a substance (glue, aerosols, etc.) to get high?","ESPAD_02d","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"2e. On how many occasions OVER THE LAST WEEK have you sniffed a substance (glue, aerosols, etc.) to get high?","ESPAD_02e","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"2f. Please indicate if you have sniffed a substance (glue, aerosols, etc.) to get high on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","ESPAD_02f","ESPAD","0-1","0=no, 1=yes"
"2g. Do you abuse more than one drug at a time when you use inhalants (glue/aerosols) to get high?","ESPAD_02g","ESPAD","0-1","0=no, 1=yes"
"2h. Can you get through the week without using inhalants to get high (unless you require it for medical reasons)?","ESPAD_02h","ESPAD","0-1","0=no, 1=yes"
"2i. Are you always able to stop using inhalants (glue/aerosols) to get high when you want?","ESPAD_02i","ESPAD","0-1","0=no, 1=yes"
"2j. Have you had 'blackouts' or 'flashbacks' as a result of inhalant (glue/aerosol) use?","ESPAD_02j","ESPAD","0-1","0=no, 1=yes"
"2k. Do you ever feel bad about your abuse of inhalants (glue/aerosols)?","ESPAD_02k","ESPAD","0-1","0=no, 1=yes"
"2l. Does your spouse (or parents) ever complain about your involvement with inhalants (glue/aerosols)?","ESPAD_02l","ESPAD","0-1","0=no, 1=yes"
"2m. Has inhalant (glue/aerosol) abuse ever created problems between you and your spouse?","ESPAD_02m","ESPAD","0-1","0=no, 1=yes"
"2n. Have you ever lost friends because of your use of inhalants (glue/aerosols)?","ESPAD_02n","ESPAD","0-1","0=no, 1=yes"
"2o. Have you ever neglected your family or missed work because of your use of inhalants (glue/aerosols)?","ESPAD_02o","ESPAD","0-1","0=no, 1=yes"
"2p. Have you ever been in trouble at work because of inhalant (glue/aerosol) abuse?","ESPAD_02p","ESPAD","0-1","0=no, 1=yes"
"2q. Have you ever lost a job because of inhalant (glue/aerosol) abuse?","ESPAD_02q","ESPAD","0-1","0=no, 1=yes"
"2r. Have you ever gotten into fights when under the influence of inhalants (glue/aerosols)?","ESPAD_02r","ESPAD","0-1","0=no, 1=yes"
"2s. Have you engaged in illegal activities in order to obtain inhalants (glue/aerosols) to get high?","ESPAD_02s","ESPAD","0-1","0=no, 1=yes"
"2t. Have you ever been arrested for possession of inhalants (glue/aerosols)?","ESPAD_02t","ESPAD","0-1","0=no, 1=yes"
"2u. Have you ever experienced withdrawal symptoms as a result of heavy inhalant (glue/aerosol) intake?","ESPAD_02u","ESPAD","0-1","0=no, 1=yes"
"2v. Have you had medical problems as a result of your inhalant (glue/aerosol) use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","ESPAD_02v","ESPAD","0-1","0=no, 1=yes"
"2w. Have you ever gone to anyone for help for an inhalant (glue/aerosol) problem?","ESPAD_02w","ESPAD","0-1","0=no, 1=yes"
"2x. Have you ever been treated as an out-patient for problems related to inhalant (glue/aerosol) abuse?","ESPAD_02x","ESPAD","0-1","0=no, 1=yes"
"2y. When did you FIRST use inhalants (glue, etc.) to get high?","ESPAD_02y","ESPAD","1-8","1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more"
"3b. On how many occasions in your lifetime have you used tranquilizers or sedatives (without a doctor's prescription) (e.g. benzodiazepines such as valium or xanax; barbiturates, barbs or downers such as amytal, or seconal)?","ESPAD_03b","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"3c. On how many occasions OVER THE LAST 12 MONTHS have you used tranquilizers?","ESPAD_03c","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"3d. On how many occasions OVER THE LAST 30 DAYS have you used tranquilizers?","ESPAD_03d","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"3e. On how many occasions OVER THE LAST WEEK have you used tranquilizers?","ESPAD_03e","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"3f. Please indicate if you have used tranquilizers or sedatives (without a doctor's prescription) on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","ESPAD_03f","ESPAD","0-1","0=no, 1=yes"
"3g. Do you abuse more than one drug at a time when you use tranquilizers?","ESPAD_03g","ESPAD","0-1","0=no, 1=yes"
"3h. Can you get through the week without using tranquilizer (unless you require it for medical reasons)?","ESPAD_03h","ESPAD","0-1","0=no, 1=yes"
"3i. Are you always able to stop using tranquilizer when you want?","ESPAD_03i","ESPAD","0-1","0=no, 1=yes"
"3j. Have you had 'blackouts' or 'flashbacks' as a result of tranquilizer use?","ESPAD_03j","ESPAD","0-1","0=no, 1=yes"
"3k. Do you ever feel bad about your tranquilizer abuse?","ESPAD_03k","ESPAD","0-1","0=no, 1=yes"
"3l. Does your spouse (or parents) ever complain about your involvement with tranquilizer?","ESPAD_03l","ESPAD","0-1","0=no, 1=yes"
"3m. Has tranquilizer abuse ever created problems between you and your spouse?","ESPAD_03m","ESPAD","0-1","0=no, 1=yes"
"3n. Have you ever lost friends because of your use of tranquilizer?","ESPAD_03n","ESPAD","0-1","0=no, 1=yes"
"3o. Have you ever neglected your family or missed work because of your use of tranquilizer?","ESPAD_03o","ESPAD","0-1","0=no, 1=yes"
"3p. Have you ever been in trouble at work because of tranquilizer abuse?","ESPAD_03p","ESPAD","0-1","0=no, 1=yes"
"3q. Have you ever lost a job because of tranquilizer abuse?","ESPAD_03q","ESPAD","0-1","0=no, 1=yes"
"3r. Have you ever gotten into fights when under the influence of tranquilizer?","ESPAD_03r","ESPAD","0-1","0=no, 1=yes"
"3s. Have you engaged in illegal activities in order to obtain tranquilizer?","ESPAD_03s","ESPAD","0-1","0=no, 1=yes"
"3t. Have you ever been arrested for possession of tranquilizer?","ESPAD_03t","ESPAD","0-1","0=no, 1=yes"
"3u. Have you ever experienced withdrawal symptoms as a result of heavy tranquilizer intake?","ESPAD_03u","ESPAD","0-1","0=no, 1=yes"
"3v. Have you had medical problems as a result of your tranquilizer use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","ESPAD_03v","ESPAD","0-1","0=no, 1=yes"
"3w. Have you ever gone to anyone for help for an tranquilizer problem?","ESPAD_03w","ESPAD","0-1","0=no, 1=yes"
"3x. Have you ever been treated as an out-patient for problems related to tranquilizer abuse?","ESPAD_03x","ESPAD","0-1","0=no, 1=yes"
"3y. When did you FIRST try tranquilizers or sedatives (without a doctor's prescription) (e.g. benzodiazepines such as valium or xanax; barbiturates, barbs or downers such as amytal, or seconal)?","ESPAD_03y","ESPAD","1-8","1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more"
"4b. On how many occasions in your lifetime have you used amphetamines (speed), methamphetamine (crystal meth) or desoxyn?","ESPAD_04b","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"4c. On how many occasions OVER THE LAST 12 MONTHS have you used amphetamines (speed)?","ESPAD_04c","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"4d. On how many occasions OVER THE LAST 30 DAYS have you used amphetamines (speed)?","ESPAD_04d","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"4e. On how many occasions OVER THE LAST WEEK have you used amphetamines (speed)?","ESPAD_04e","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"4f. Please indicate if you have used amphetamines (speed), methamphetamine (crystal meth) or desoxyn on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","ESPAD_04f","ESPAD","0-1","0=no, 1=yes"
"4g. Do you abuse more than one drug at a time when you use amphetamines?","ESPAD_04g","ESPAD","0-1","0=no, 1=yes"
"4h. Can you get through the week without using amphetamines (unless you require it for medical reasons)?","ESPAD_04h","ESPAD","0-1","0=no, 1=yes"
"4i. Are you always able to stop using amphetamines when you want?","ESPAD_04i","ESPAD","0-1","0=no, 1=yes"
"4j. Have you had 'blackouts' or 'flashbacks' as a result of amphetamine use?","ESPAD_04j","ESPAD","0-1","0=no, 1=yes"
"4k. Do you ever feel bad about your amphetamine abuse?","ESPAD_04k","ESPAD","0-1","0=no, 1=yes"
"4l. Does your spouse (or parents) ever complain about your involvement with amphetamines?","ESPAD_04l","ESPAD","0-1","0=no, 1=yes"
"4m. Has amphetamine abuse ever created problems between you and your spouse?","ESPAD_04m","ESPAD","0-1","0=no, 1=yes"
"4n. Have you ever lost friends because of your use of amphetamines?","ESPAD_04n","ESPAD","0-1","0=no, 1=yes"
"4o. Have you ever neglected your family or missed work because of your use of amphetamines?","ESPAD_04o","ESPAD","0-1","0=no, 1=yes"
"4p. Have you ever been in trouble at work because of amphetamine abuse?","ESPAD_04p","ESPAD","0-1","0=no, 1=yes"
"4q. Have you ever lost a job because of amphetamine abuse?","ESPAD_04q","ESPAD","0-1","0=no, 1=yes"
"4r. Have you ever gotten into fights when under the influence of amphetamines?","ESPAD_04r","ESPAD","0-1","0=no, 1=yes"
"4s. Have you engaged in illegal activities in order to obtain amphetamines?","ESPAD_04s","ESPAD","0-1","0=no, 1=yes"
"4t. Have you ever been arrested for possession of amphetamines?","ESPAD_04t","ESPAD","0-1","0=no, 1=yes"
"4u. Have you ever experienced withdrawal symptoms as a result of heavy amphetamine intake?","ESPAD_04u","ESPAD","0-1","0=no, 1=yes"
"4v. Have you had medical problems as a result of your amphetamine use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","ESPAD_04v","ESPAD","0-1","0=no, 1=yes"
"4w. Have you ever gone to anyone for help for an amphetamine problem?","ESPAD_04w","ESPAD","0-1","0=no, 1=yes"
"4x. Have you ever been treated as an out-patient for problems related to amphetamine abuse?","ESPAD_04x","ESPAD","0-1","0=no, 1=yes"
"4y. When did you FIRST try amphetamines (speed), methamphetamine (crystal meth) or desoxyn?","ESPAD_04y","ESPAD","1-8","1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more"
"5b. On how many occasions in your lifetime have you used LSD (acid)?","ESPAD_05b","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"5c. On how many occasions OVER THE LAST 12 MONTHS have you used LSD (acid)?","ESPAD_05c","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"5d. On how many occasions OVER THE LAST 30 DAYS have you used LSD (acid)?","ESPAD_05d","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"5e. On how many occasions OVER THE LAST WEEK have you used LSD (acid)?","ESPAD_05e","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"5f. Please indicate if you have used LSD on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","ESPAD_05f","ESPAD","0-1","0=no, 1=yes"
"5g. Do you abuse more than one drug at a time when you use LSD?","ESPAD_05g","ESPAD","0-1","0=no, 1=yes"
"5h. Can you get through the week without using LSD (unless you require it for medical reasons)?","ESPAD_05h","ESPAD","0-1","0=no, 1=yes"
"5i. Are you always able to stop using LSD when you want?","ESPAD_05i","ESPAD","0-1","0=no, 1=yes"
"5j. Have you had 'blackouts' or 'flashbacks' as a result of LSD use?","ESPAD_05j","ESPAD","0-1","0=no, 1=yes"
"5k. Do you ever feel bad about your LSD abuse?","ESPAD_05k","ESPAD","0-1","0=no, 1=yes"
"5l. Does your spouse (or parents) ever complain about your involvement with LSD?","ESPAD_05l","ESPAD","0-1","0=no, 1=yes"
"5m. Has LSD abuse ever created problems between you and your spouse?","ESPAD_05m","ESPAD","0-1","0=no, 1=yes"
"5n. Have you ever lost friends because of your use of LSD?","ESPAD_05n","ESPAD","0-1","0=no, 1=yes"
"5o. Have you ever neglected your family or missed work because of your use of LSD?","ESPAD_05o","ESPAD","0-1","0=no, 1=yes"
"5p. Have you ever been in trouble at work because of LSD abuse?","ESPAD_05p","ESPAD","0-1","0=no, 1=yes"
"5q. Have you ever lost a job because of LSD abuse?","ESPAD_05q","ESPAD","0-1","0=no, 1=yes"
"5r. Have you ever gotten into fights when under the influence of LSD?","ESPAD_05r","ESPAD","0-1","0=no, 1=yes"
"5s. Have you engaged in illegal activities in order to obtain LSD?","ESPAD_05s","ESPAD","0-1","0=no, 1=yes"
"5t. Have you ever been arrested for possession of LSD?","ESPAD_05t","ESPAD","0-1","0=no, 1=yes"
"5u. Have you ever experienced withdrawal symptoms as a result of heavy LSD intake?","ESPAD_05u","ESPAD","0-1","0=no, 1=yes"
"5v. Have you had medical problems as a result of your LSD use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","ESPAD_05v","ESPAD","0-1","0=no, 1=yes"
"5w. Have you ever gone to anyone for help for an LSD problem?","ESPAD_05w","ESPAD","0-1","0=no, 1=yes"
"5x. Have you ever been treated as an out-patient for problems related to LSD abuse?","ESPAD_05x","ESPAD","0-1","0=no, 1=yes"
"5y. When did you FIRST try LSD (acid)?","ESPAD_05y","ESPAD","1-8","1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more"
"6b. On how many occasions in your lifetime have you used magic mushrooms or other hallucinogens (excluding LSD)?","ESPAD_06b","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"6c. On how many occasions OVER THE LAST 6 MONTHS have you used magic mushrooms or other hallucinogens (excluding LSD)?","ESPAD_06c","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"6d. On how many occasions OVER THE LAST 30 DAYS have you used magic mushrooms or other hallucinogens (excluding LSD)?","ESPAD_06d","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"6e. On how many occasions OVER THE LAST WEEK have you used magic mushrooms or other hallucinogens (excluding LSD)?","ESPAD_06e","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"6f. Please indicate if you have used magic mushrooms or other hallucinogens (excluding LSD) on a weekly basis OVER A 6 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","ESPAD_06f","ESPAD","0-1","0=no, 1=yes"
"6g. Do you abuse more than one drug at a time when you use hallucinogens?","ESPAD_06g","ESPAD","0-1","0=no, 1=yes"
"6h. Can you get through the week without using hallucinogens (unless you require it for medical reasons)?","ESPAD_06h","ESPAD","0-1","0=no, 1=yes"
"6i. Are you always able to stop using hallucinogens when you want?","ESPAD_06i","ESPAD","0-1","0=no, 1=yes"
"6j. Have you had 'blackouts' or 'flashbacks' as a result of hallucinogens use?","ESPAD_06j","ESPAD","0-1","0=no, 1=yes"
"6k. Do you ever feel bad about your hallucinogens abuse?","ESPAD_06k","ESPAD","0-1","0=no, 1=yes"
"6l. Does your spouse (or parents) ever complain about your involvement with hallucinogens?","ESPAD_06l","ESPAD","0-1","0=no, 1=yes"
"6m. Has hallucinogens abuse ever created problems between you and your spouse?","ESPAD_06m","ESPAD","0-1","0=no, 1=yes"
"6n. Have you ever lost friends because of your use of hallucinogens?","ESPAD_06n","ESPAD","0-1","0=no, 1=yes"
"6o. Have you ever neglected your family or missed work because of your use of hallucinogens?","ESPAD_06o","ESPAD","0-1","0=no, 1=yes"
"6p. Have you ever been in trouble at work because of hallucinogens abuse?","ESPAD_06p","ESPAD","0-1","0=no, 1=yes"
"6q. Have you ever lost a job because of hallucinogens abuse?","ESPAD_06q","ESPAD","0-1","0=no, 1=yes"
"6r. Have you ever gotten into fights when under the influence of hallucinogens?","ESPAD_06r","ESPAD","0-1","0=no, 1=yes"
"6s. Have you engaged in illegal activities in order to obtain hallucinogens?","ESPAD_06s","ESPAD","0-1","0=no, 1=yes"
"6t. Have you ever been arrested for possession of hallucinogens?","ESPAD_06t","ESPAD","0-1","0=no, 1=yes"
"6u. Have you ever experienced withdrawal symptoms as a result of heavy hallucinogens intake?","ESPAD_06u","ESPAD","0-1","0=no, 1=yes"
"6v. Have you had medical problems as a result of your hallucinogens use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","ESPAD_06v","ESPAD","0-1","0=no, 1=yes"
"6w. Have you ever gone to anyone for help for an hallucinogens problem?","ESPAD_06w","ESPAD","0-1","0=no, 1=yes"
"6x. Have you ever been treated as an out-patient for problems related to hallucinogens abuse?","ESPAD_06x","ESPAD","0-1","0=no, 1=yes"
"6y. When did you FIRST try magic mushrooms or other hallucinogens (excluding LSD)?","ESPAD_06y","ESPAD","1-8","1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more"
"7b. On how many occasions in your lifetime have you used crack?","ESPAD_07b","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"7c. On how many occasions OVER THE LAST 12 MONTHS have you used crack?","ESPAD_07c","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"7d. On how many occasions OVER THE LAST 30 DAYS have you used crack?","ESPAD_07d","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"7e. On how many occasions OVER THE LAST WEEK have you used crack?","ESPAD_07e","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"7f. Please indicate if you have used crack on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","ESPAD_07f","ESPAD","0-1","0=no, 1=yes"
"7g. Do you abuse more than one drug at a time when you use crack?","ESPAD_07g","ESPAD","0-1","0=no, 1=yes"
"7h. Can you get through the week without using crack (unless you require it for medical reasons)?","ESPAD_07h","ESPAD","0-1","0=no, 1=yes"
